G_Spacing [mm],Freq [GHz],"dB(St(Microstrip_T2,Microstrip_T1)) []",
0.7,0,-0.004540286,0.004540286
0.7,0.125,-0.009890201,0.009890201
0.7,0.25,-0.01554964,0.01554964
0.7,0.375,-0.020046737,0.020046737
0.7,0.5,-0.023458737,0.023458737
0.7,0.625,-0.026319956,0.026319956
0.7,0.75,-0.028930266,0.028930266
0.7,0.875,-0.031419734,0.031419734
0.7,1,-0.033836996,0.033836996
0.7,1.125,-0.036196378,0.036196378
0.7,1.25,-0.038499764,0.038499764
0.7,1.375,-0.040746074,0.040746074
0.7,1.5,-0.042934907,0.042934907
0.7,1.625,-0.045067557,0.045067557
0.7,1.75,-0.047146926,0.047146926
0.7,1.875,-0.049177056,0.049177056
0.7,2,-0.051162614,0.051162614
0.7,2.125,-0.053108457,0.053108457
0.7,2.25,-0.055019306,0.055019306
0.7,2.375,-0.056899538,0.056899538
0.7,2.5,-0.058753063,0.058753063
0.7,2.625,-0.060583267,0.060583267
0.7,2.75,-0.06239301,0.06239301
0.7,2.875,-0.064184656,0.064184656
0.7,3,-0.065960114,0.065960114
0.7,3.125,-0.067720908,0.067720908
0.7,3.25,-0.069468238,0.069468238
0.7,3.375,-0.071203058,0.071203058
0.7,3.5,-0.072926143,0.072926143
0.7,3.625,-0.074638169,0.074638169
0.7,3.75,-0.076339784,0.076339784
0.7,3.875,-0.078031685,0.078031685
0.7,4,-0.079714698,0.079714698
0.7,4.125,-0.081389862,0.081389862
0.7,4.25,-0.083058518,0.083058518
0.7,4.375,-0.084722408,0.084722408
0.7,4.5,-0.08638379,0.08638379
0.7,4.625,-0.08804556,0.08804556
0.7,4.75,-0.089711393,0.089711393
0.7,4.875,-0.091385895,0.091385895
0.7,5,-0.093074756,0.093074756
0.7,5.125,-0.094784878,0.094784878
0.7,5.25,-0.096524434,0.096524434
0.7,5.375,-0.09830276,0.09830276
0.7,5.5,-0.100129911,0.100129911
0.7,5.625,-0.102015635,0.102015635
0.7,5.75,-0.10396739,0.10396739
0.7,5.875,-0.105987019,0.105987019
0.7,6,-0.108065925,0.108065925
0.7,6.125,-0.110179411,0.110179411
0.7,6.25,-0.112282414,0.112282414
0.7,6.375,-0.114310609,0.114310609
0.7,6.5,-0.116190768,0.116190768
0.7,6.625,-0.117859819,0.117859819
0.7,6.75,-0.119284865,0.119284865
0.7,6.875,-0.120472979,0.120472979
0.7,7,-0.121465445,0.121465445
