track_width [mm],Freq [GHz],"dB(S(2,1)) []",Loss / cm,
0.2185,0,-0.004671622,0.004671622,
0.2185,0.125,-0.010402955,0.010402955,
0.2185,0.25,-0.016590059,0.016590059,
0.2185,0.375,-0.022132398,0.022132398,
0.2185,0.5,-0.026335877,0.026335877,
0.2185,0.625,-0.029600696,0.029600696,
0.2185,0.75,-0.032337447,0.032337447,
0.2185,0.875,-0.034802751,0.034802751,
0.2185,1,-0.037138421,0.037138421,
0.2185,1.125,-0.039418211,0.039418211,
0.2185,1.25,-0.041677652,0.041677652,
0.2185,1.375,-0.043931172,0.043931172,
0.2185,1.5,-0.046181803,0.046181803,
0.2185,1.625,-0.048426737,0.048426737,
0.2185,1.75,-0.050660541,0.050660541,
0.2185,1.875,-0.052877012,0.052877012,
0.2185,2,-0.055070228,0.055070228,
0.2185,2.125,-0.057235104,0.057235104,
0.2185,2.25,-0.059367639,0.059367639,
0.2185,2.375,-0.061464993,0.061464993,
0.2185,2.5,-0.063525438,0.063525438,
0.2185,2.625,-0.065548258,0.065548258,
0.2185,2.75,-0.067533614,0.067533614,
0.2185,2.875,-0.069482399,0.069482399,
0.2185,3,-0.071396095,0.071396095,
0.2185,3.125,-0.073276637,0.073276637,
0.2185,3.25,-0.075126291,0.075126291,
0.2185,3.375,-0.076947546,0.076947546,
0.2185,3.5,-0.078743025,0.078743025,
0.2185,3.625,-0.080515397,0.080515397,
0.2185,3.75,-0.082267321,0.082267321,
0.2185,3.875,-0.084001384,0.084001384,
0.2185,4,-0.085720059,0.085720059,
0.2185,4.125,-0.087425672,0.087425672,
0.2185,4.25,-0.089120371,0.089120371,
0.2185,4.375,-0.090806107,0.090806107,
0.2185,4.5,-0.09248462,0.09248462,
0.2185,4.625,-0.094157426,0.094157426,
0.2185,4.75,-0.095825813,0.095825813,
0.2185,4.875,-0.097490842,0.097490842,
0.2185,5,-0.09915334,0.09915334,
0.2185,5.125,-0.100813912,0.100813912,
0.2185,5.25,-0.102472946,0.102472946,
0.2185,5.375,-0.104130617,0.104130617,
0.2185,5.5,-0.105786906,0.105786906,
0.2185,5.625,-0.107441606,0.107441606,
0.2185,5.75,-0.109094344,0.109094344,
0.2185,5.875,-0.110744594,0.110744594,
0.2185,6,-0.112391696,0.112391696,
0.2185,6.125,-0.11403488,0.11403488,
0.2185,6.25,-0.115673289,0.115673289,
0.2185,6.375,-0.117306,0.117306,
0.2185,6.5,-0.118932054,0.118932054,
0.2185,6.625,-0.120550482,0.120550482,
0.2185,6.75,-0.122160336,0.122160336,
