"Freq [GHz]","dB(St(T1_2,T1_1)) []"
0,-0.00899536355114948
0.125,-0.0156722358988234
0.25,-0.0240637269079767
0.375,-0.0312966650085538
0.5,-0.0368633454003272
0.625,-0.0414208191029901
0.75,-0.0454593154236715
0.875,-0.0492310834136424
1,-0.0528492374710259
1.125,-0.056358337030795
1.25,-0.0597722811402063
1.375,-0.0630931030250779
1.5,-0.0663197638116913
1.625,-0.0694518738100569
1.75,-0.0724909179080629
1.875,-0.075440324869777
2,-0.0783050685579739
2.125,-0.0810911421439825
2.25,-0.0838050620095598
2.375,-0.086453462109175
2.5,-0.0890427919193378
2.625,-0.0915791095001963
2.75,-0.0940679532007564
2.875,-0.0965142742626627
3,-0.0989224142889744
3.125,-0.101296114302605
3.25,-0.103638544976026
3.375,-0.105952350158342
3.5,-0.108239697923332
3.625,-0.110502335010253
3.75,-0.112741641782994
3.875,-0.114958685763303
4,-0.117154272470574
4.125,-0.119328992783703
4.25,-0.121483266379995
4.375,-0.123617381040431
4.5,-0.125731527768472
4.625,-0.127825831774703
4.75,-0.129900379446429
4.875,-0.131955241463309
5,-0.133990492244659
5.125,-0.13600622592835
5.25,-0.138002569088498
5.375,-0.139979690403851
5.5,-0.141937807491035
5.625,-0.143877191120066
5.75,-0.145798167032114
5.875,-0.147701115583581
6,-0.149586469444641
6.125,-0.151454709584679
6.25,-0.153306359781345
6.375,-0.155141979893155
6.5,-0.156962158137867
6.625,-0.15876750262022
6.75,-0.160558632352158
6.875,-0.162336168007523
7,-0.164100722651348
7.125,-0.165852892680902
7.25,-0.167593249213168
7.375,-0.16932233015054
7.5,-0.171040633154161
7.625,-0.172748609751993
7.75,-0.174446660806919
7.875,-0.176135133568011
8,-0.177814320526237
8.125,-0.179484460293253
8.25,-0.181145740718706
8.375,-0.18279830445764
8.5,-0.184442257194098
8.625,-0.186077678721265
8.75,-0.187704637070453
8.875,-0.189323205872931
9,-0.190933485128631
9.125,-0.192535625544724
9.25,-0.194129856595585
9.375,-0.195716518442691
9.5,-0.197296097840064
9.625,-0.198869268136889
9.75,-0.200436933474331
9.875,-0.202000277258704
10,-0.203560814976202
10.125,-0.205094560990588
10.25,-0.206624942003153
10.375,-0.208151747462332
10.5,-0.209674782784786
10.625,-0.211193868444433
10.75,-0.21270883913272
10.875,-0.214219542991507
11,-0.215725840918952
11.125,-0.217227605947341
11.25,-0.21872472269108
11.375,-0.220217086861815
11.5,-0.221704604846793
11.625,-0.223187193345628
11.75,-0.224664779059993
11.875,-0.226137298430024
12,-0.227604697410607
12.125,-0.229066931280477
12.25,-0.230523964476572
12.375,-0.231975770446016
12.5,-0.233422331508127
12.625,-0.234863638718857
12.75,-0.236299691730346
12.875,-0.237730498638776
13,-0.23915607581398
13.125,-0.240576447705144
13.25,-0.241991646617366
13.375,-0.243401712454874
13.5,-0.244806692427457
13.625,-0.246206640717496
13.75,-0.247601618106075
13.875,-0.248991691557515
14,-0.250376933762514
14.125,-0.251757422641193
14.25,-0.253133240807987
14.375,-0.254504475001287
14.5,-0.255871215481299
14.625,-0.257233555400375
14.75,-0.258591590150528
14.875,-0.259945416693211
15,-0.261295132877043
15.125,-0.262640836749045
15.25,-0.263982625865369
15.375,-0.26532059660742
15.5,-0.266654843509321
15.625,-0.267985458602407
15.75,-0.269312530782375
15.875,-0.270636145204468
16,-0.271956382711639
16.125,-0.27327331930043
16.25,-0.27458702562892
16.375,-0.275897566570635
16.5,-0.277205000817853
16.625,-0.278509380537585
16.75,-0.279810751082675
16.875,-0.281109150760478
17,-0.282404610660798
17.125,-0.283697154544454
17.25,-0.284986798793745
17.375,-0.286273552425009
17.5,-0.287557417163783
17.625,-0.288838387582226
17.75,-0.290116451298134
17.875,-0.291391589234675
18,-0.292663775939234
18.125,-0.2939329799597
18.25,-0.295199164275811
18.375,-0.296462286782923
18.5,-0.297722300825102
18.625,-0.298979155773989
18.75,-0.300232797649406
18.875,-0.30148316977743
19,-0.302730213481042
19.125,-0.303973868798153
19.25,-0.305214075221412
19.375,-0.306450772453949
19.5,-0.307683901174786
19.625,-0.308913403807329
19.75,-0.310139225284453
19.875,-0.311361313803124
20,-0.312579621561769
20.125,-0.313794105473378
20.25,-0.315004727847589
20.375,-0.316211457034844
20.5,-0.317414268026253
20.625,-0.318613143002999
20.75,-0.319808071829298
20.875,-0.320999052483718
21,-0.32218609142401
21.125,-0.32336920388104
21.25,-0.324548414078498
21.375,-0.325723755375211
21.5,-0.326895270328148
21.625,-0.32806301067441
21.75,-0.329227037231902
21.875,-0.330387419718487
22,-0.331544236490867
22.125,-0.332697574204587
22.25,-0.333847527397827
22.375,-0.334994198001962
22.5,-0.336137694782658
22.625,-0.337278132716141
22.75,-0.338415632305338
22.875,-0.339550318841581
23,-0.340682321617766
23.125,-0.341811773099344
23.25,-0.342938808059703
23.375,-0.34406356268712
23.5,-0.3451861736702
23.625,-0.346306777269313
23.75,-0.347425508381355
23.875,-0.348542499605331
